Nickname;Tipo;Valor;
@el_pais;Followers;8546577;
@elmundoes;Followers;4245920;
@abc_es;Followers;2210335;
@EFEnoticias;Followers;2054627;
@20m;Followers;1485266;
@LaVanguardia;Followers;1298919;
@rtve;Followers;1249946;
@publico_es;Followers;1123260;
@laSextaTV;Followers;1119368;
@informativost5;Followers;828153;
@el_pais;Interactions;347129;
@elmundoes;Interactions;135502;
@abc_es;Interactions;69906;
@EFEnoticias;Interactions;43300;
@20m;Interactions;19964;
@LaVanguardia;Interactions;15870;
@rtve;Interactions;7681;
@publico_es;Interactions;50333;
@laSextaTV;Interactions;9590;
@informativost5;Interactions;13059;
